date,time,protocol_version,code,name,position_before,price_at_decision,market_context,signal,advice,shares_advised,actual_action,shares_actual,position_after,reason,T1_return,T3_return,T5_return,outcome,rule_tags,notes,event_id,theme_id,portfolio_role,stock_role,lifecycle_state,leadership_change,flow_evidence,attention_evidence,crowding_evidence,price_impact,next_buyer,invalidation,opportunity_action
2026-08-21,09:45,DailyExecution-v1.0,603179,新泉股份,0,,隔夜美股下跌且风险偏好走弱；9:45实时A股行情缺失,昨日清仓后的反包与重新定价待确认,仅观察不回补,0,,,,先验证卖飞成本但禁止因焦虑追高,,,,D0不可验证；排除统计,R-002|R-006,overnight_driver=美股与小盘股下跌; expected_reaction=偏弱/中; actual_reaction=missing_at_0945; surprise=none; confirm_at_1030=是否放量站稳昨日收盘35.66并强于汽车零部件; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,09:45,DailyExecution-v1.0,688111,金山办公,0,,隔夜纳指下跌且长久期科技承压；9:45实时A股行情缺失,昨日Good News + Weak Reaction清仓后的T+1重估待确认,仅观察不回补,0,,,,外围利空下若仍强才构成高信息量正向Surprise；禁止情绪追高,,,,D0不可验证；排除统计,R-002|R-004|R-005|R-006,overnight_driver=纳指下跌与美债收益率高位; expected_reaction=偏弱/中; actual_reaction=missing_at_0945; surprise=none; confirm_at_1030=是否站稳昨日收盘241.64且强于软件板块; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,10:30,DailyExecution-v1.0,603861,白云电器,1000,,10:30实时指数板块及个股量价缺失,09:45观察条件无法验证,继续观察至14:30,0,,,,缺少相对电网设备和指数的实时强弱证据；不提高操作强度,,,,D0不可验证；排除统计,R-001|R-003,0945_confirmation=missing; 0945_reference=2026-08-21/603861/09:45; confirmation_evidence=10:30实时指数板块及个股量价缺失; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,10:30,DailyExecution-v1.0,300421,力星股份,200,,10:30实时指数板块及个股量价缺失,09:45高Beta偏弱预期无法验证,继续观察至14:30,0,,,,现有200股为二元仓位且缺少机器人板块相对强弱证据,,,,D0不可验证；排除统计,R-001|R-003|R-005,0945_confirmation=missing; 0945_reference=2026-08-21/300421/09:45; confirmation_evidence=10:30实时个股和机器人板块量价缺失; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,10:30,DailyExecution-v1.0,603993,洛阳钼业,200,,10:30实时指数资源板块及个股量价缺失,业绩会期间承接与利好兑现无法验证,继续观察至14:30,0,,,,会议正在进行但不能用事件叙事代替实时价格确认,,,,D0不可验证；排除统计,R-001|R-002|R-003,0945_confirmation=missing; 0945_reference=2026-08-21/603993/09:45; confirmation_evidence=10:30实时个股和资源板块量价缺失; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,10:30,DailyExecution-v1.0,002150,正泰电源,100,,10:30实时指数板块及个股量价缺失,昨日修复失败后的承接无法验证,继续观察至14:30,0,,,,仅100股的二元仓位需提高阈值且无电网板块共振证据,,,,D0不可验证；排除统计,R-001|R-003|R-005,0945_confirmation=missing; 0945_reference=2026-08-21/002150/09:45; confirmation_evidence=10:30实时个股和电网设备板块量价缺失; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,10:30,DailyExecution-v1.0,600487,亨通光电,200,,10:30实时指数通信板块及个股量价缺失,外围科技偏弱与昨日相对强承接的冲突无法验证,继续观察至14:30,0,,,,低总股票仓位下不因无法确认而机械撤回昨日新增仓位,,,,D0不可验证；排除统计,R-001|R-002|R-008,0945_confirmation=missing; 0945_reference=2026-08-21/600487/09:45; confirmation_evidence=10:30实时个股和通信板块量价缺失; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,10:30,DailyExecution-v1.0,603179,新泉股份,0,,10:30实时汽车零部件及个股量价缺失,昨日清仓后的反包和重新定价无法验证,保持空仓不回补,0,,,,没有新的趋势确认条件；执行卖飞后禁止情绪追高规则,,,,D0不可验证；排除统计,R-001|R-002|R-006,0945_confirmation=missing; 0945_reference=2026-08-21/603179/09:45; confirmation_evidence=10:30实时个股和汽车零部件板块量价缺失; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,10:30,DailyExecution-v1.0,688111,金山办公,0,,10:30实时软件板块及个股量价缺失,T+1重估和反包条件无法验证,保持空仓不回补,0,,,,无法确认Bad News + Strong Response；不支付无证据的追高成本,,,,D0不可验证；排除统计,R-001|R-002|R-004|R-005|R-006,0945_confirmation=missing; 0945_reference=2026-08-21/688111/09:45; confirmation_evidence=10:30实时个股和软件板块量价缺失; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,14:30,DailyExecution-v1.1,603861,白云电器,1000,11.95,上证+0.17%；深成+1.01%；创业板+1.61%；14:30网页量价恢复,上涨但弱于电网设备代理篮子,持有,0,,,,当前约5.20%仓位处于目标区间；近当日高点但相对强度一般；不在尾盘追涨或减仓,,,,D0持有合理；尾盘继续走强,R-001|R-007|R-008,data_quality=A; sector_proxy_quality=C; quote_time=14:34:23; retrieved_at=14:35; close=12.12; close_quality=C; decision_to_close=+1.42%; tomorrow_exit=跌破11.66且板块继续强则减100至200股,,,,,,,,,,,,,
2026-08-21,14:30,DailyExecution-v1.1,300421,力星股份,200,16.48,上证+0.17%；深成+1.01%；创业板+1.61%；14:30网页量价恢复,明显强于机械代理篮子且接近日高,持有,0,,,,当前约1.43%为小观察仓；相对强度改善但200股不宜因单日修复追加强度,,,,D0持有合理；尾盘小幅回落,R-001|R-003|R-005|R-007|R-008,data_quality=A; sector_proxy_quality=C; quote_time=14:35:28; retrieved_at=14:35; close=16.43; close_quality=B; decision_to_close=-0.30%; tomorrow_exit=跌回15.92下方且板块不弱则减100股,,,,,,,,,,,,,
2026-08-21,14:30,DailyExecution-v1.1,603993,洛阳钼业,200,18.65,上证+0.17%；深成+1.01%；创业板+1.61%；业绩说明会后量价可用,业绩会后保持正收益并接近日高但略弱于紫金矿业,持有,0,,,,当前约1.62%处于目标区间；事件兑现后仍有承接；不因已知利好重复加仓,,,,D0持有合理；事件后承接延续,R-001|R-002|R-007|R-008,data_quality=A; sector_proxy_quality=C; quote_time=14:33:58; retrieved_at=14:36; close=18.62; close_quality=B; decision_to_close=-0.16%; tomorrow_exit=低开并跌破18.19且资源方向不弱则减100股,,,,,,,,,,,,,
2026-08-21,14:30,DailyExecution-v1.1,002150,正泰电源,100,23.05,上证+0.17%；深成+1.01%；创业板+1.61%；14:30网页量价恢复,明显强于光储代理篮子并接近日高,持有,0,,,,当前约1.00%且仅100股为二元仓位；强反应不足以越过R-005阈值追涨或清仓,,,,D0持有合理；尾盘略有回落,R-001|R-002|R-005|R-007|R-008,data_quality=A; sector_proxy_quality=C; quote_time=14:35:24; retrieved_at=14:35; close=22.92; close_quality=C; decision_to_close=-0.56%; tomorrow_exit=跌破21.95且板块不弱时再评估清仓,,,,,,,,,,,,,
2026-08-21,14:30,DailyExecution-v1.1,600487,亨通光电,200,62.53,上证+0.17%；深成+1.01%；创业板+1.61%；通信代理篮子普涨,绝对修复转正但明显落后通信代理篮子,持有；明日条件减仓,0,,,,当前约5.44%仍在目标区间且盘中自59.48显著修复；低总仓位下不因单日相对落后尾盘反向清仓,,,,D0中性；未尾盘杀跌合理但相对通信仍弱,R-001|R-002|R-004|R-007|R-008,data_quality=A; sector_proxy_quality=C; quote_time=14:32:52; retrieved_at=14:35; close=62.18; close_quality=B; decision_to_close=-0.56%; tomorrow_exit=跌破60.89且通信代理篮子仍强则减100股; opposite=突破63.30则继续持有,,,,,,,,,,,,,
2026-08-21,14:30,DailyExecution-v1.1,603179,新泉股份,0,35.79,上证+0.17%；深成+1.01%；创业板+1.61%；14:30网页量价恢复,清仓后T+1反包且强于汽车零部件代理篮子,保持空仓；明日条件观察回补,0,,,,卖飞成本开始显现但价格已接近日高；执行R-006不在尾盘因后悔追高,,,,D0强反包；不追高执行合理,R-001|R-004|R-006|R-007,data_quality=A; sector_proxy_quality=C; quote_time=14:34:14; retrieved_at=14:35; candidate_close=36.73; close_quality=C; decision_to_close=+2.63%; close_prev_reference_conflict=true; reentry=下一交易日放量站稳37.87并获板块共振后再评估100股; invalidation=跌回35.20下方,,,,,,,,,,,,,
2026-08-21,14:30,DailyExecution-v1.1,688111,金山办公,0,240.20,上证+0.17%；深成+1.01%；创业板+1.61%；14:30网页量价恢复,T+1未反包且明显弱于成长指数和科技代理篮子,保持空仓不回补,0,,,,价格仍低于昨日收盘241.64且弱于成长环境；当前不支付趋势确认保险费,,,,D0未反包；保持空仓合理,R-001|R-002|R-004|R-005|R-006|R-007,data_quality=A; quote_time=14:27:52; quote_lag=约8分钟; retrieved_at=14:36; close=240.50; close_quality=B; decision_to_close=+0.12%; reentry=站稳243.14并相对软件方向转强后再评估100股,,,,,,,,,,,,,
2026-08-24,09:57,DailyExecution-v1.4,603861,白云电器,1000,11.95,上证-0.38%；深成-1.40%；创业板-2.22%；成长风险快速收缩,低开后修复并明显强于指数,持有,0,,,,相对抗跌但无新增事件和板块共振；不因15分钟强弱加仓,,,,,R-001|R-008,overnight_driver=none; expected_reaction=中性; actual_reaction=11.95/-0.08%，低开后修复; surprise=positive; confirm_at_1030=守住11.88且电网设备不转弱; scheduled_node=09:45; actual_quote_time=09:56:57; execution_mode=manual_delayed,,,holding,unclassified,cold,maintain,双源当日量价一致；价格相对指数抗跌,低,unknown,低开后修复,电网设备轮动资金,跌破11.66且同类设备股不弱,hold
2026-08-24,09:57,DailyExecution-v1.4,300421,力星股份,200,16.27,上证-0.38%；深成-1.40%；创业板-2.22%；成长风险快速收缩,平开后回落但仍强于创业板,持有,0,,,,无新增事件；相对抗跌不足以提升普通跟随角色,,,,,R-001|R-008,overnight_driver=none; expected_reaction=中性偏弱; actual_reaction=16.27/-0.97%; surprise=none; confirm_at_1030=守住16.25且机器人核心不继续退潮; scheduled_node=09:45; actual_quote_time=09:56:54; execution_mode=manual_delayed,,,holding,follower,cold,maintain,双源当日量价一致；平开后回落,低,low,开盘回落,机器人轮动资金,跌破15.92且机器人核心保持强势,hold
2026-08-24,09:57,DailyExecution-v1.4,603993,洛阳钼业,200,19.11,指数转弱；资源容量与高弹性多数逆势,高开被接受并强于资源容量核心,持有；10:30确认后再评估加仓,0-100,,,,资源事件因果与容量反应成立；当前仓位约1.66%，不在09:45节点追高,,,,,R-001|R-002|R-008|R-011,overnight_driver=EVT-20260824-02; expected_reaction=资源容量中性偏强; actual_reaction=19.11/+2.63%，接近日高; surprise=positive; confirm_at_1030=守住19.00且紫金矿业维持正收益; scheduled_node=09:45; actual_quote_time=09:56:55; execution_mode=manual_delayed,EVT-20260824-02,THM-贵金属铜钨,holding,capacity_core,reacceleration,maintain,双源量价一致；明显强于紫金矿业和大盘,高,medium,正向价格冲击,商品趋势与容量轮动资金,跌破18.62且紫金矿业与赤峰黄金仍强,hold
2026-08-24,09:57,DailyExecution-v1.4,002150,正泰电源,100,22.53,上证-0.38%；深成-1.40%；创业板-2.22%,盘中冲高后回落接近日低,持有,0,,,,100股二元仓位提高阈值；单层价格回落不足以清仓,,,,,R-001|R-005|R-008,overnight_driver=none; expected_reaction=中性; actual_reaction=22.53/-1.62%，高点23.40后回落; surprise=negative; confirm_at_1030=守住22.51且光储核心不显著更强; scheduled_node=09:45; actual_quote_time=09:56:57; execution_mode=manual_delayed,,THM-光储,holding,follower,divergence,maintain,双源当日量价一致；盘中冲高兑现,一般,medium,高位回落,光储轮动资金,跌破21.95且光储核心不弱,hold
2026-08-24,09:57,DailyExecution-v1.4,600487,亨通光电,200,59.95,通信核心与扩散同步回落；题材由再加速转分歧,平开后跌破60.89且接近日低；地位下降,10:30确认后减仓,100,,,,事件映射仍在但价格反应与相对地位下降；09:45节点不直接外推全天,,,,,R-001|R-002|R-004|R-008|R-011,overnight_driver=EVT-20260824-01; expected_reaction=政策与AI资本开支下中性偏强; actual_reaction=59.95/-3.59%，跌破60.89; surprise=negative; confirm_at_1030=仍低于60.89且中天科技相对更强则减100股; scheduled_node=09:45; actual_quote_time=09:56:56; execution_mode=manual_delayed,EVT-20260824-01,THM-新一代通信网,holding,direct_core,divergence,downgrade,双源量价一致；平开后持续下压,高,medium,负向价格冲击,10:30主线回流资金,10:30仍低于60.89且中天科技相对更强,conditional_reduce
2026-08-24,09:57,DailyExecution-v1.4,603179,新泉股份,0,37.04,成长风险下降；汽车零部件未确认主线,最高37.98短暂越过门槛后回落,不回补,0,,,,重新定价门槛未被持续接受；禁止卖飞焦虑追买,,,,,R-004|R-006|R-011,overnight_driver=none; expected_reaction=需站稳37.87; actual_reaction=37.04/+0.84%，最高37.98但未站稳; surprise=none; confirm_at_1030=放量站稳37.87且板块广度确认; scheduled_node=09:45; actual_quote_time=09:56:57; execution_mode=manual_delayed,,THM-汽车零部件,recent_exit,follower,cold,maintain,双源当日量价一致；门槛被触及但未被接受,中,medium,冲高回落,板块扩散资金,不能站稳37.87或板块无广度,reject_rebuy
2026-08-24,09:57,DailyExecution-v1.4,688111,金山办公,0,236.63,创业板-2.22%；AI基础设施事件强于应用端,未收复243.14且仍弱于理论重估,不回补,0,,,,退出逻辑尚未证伪；100股最小单位仍造成较大二元仓位,,,,,R-001|R-005|R-006|R-011,overnight_driver=none; expected_reaction=需出现独立应用端强反应; actual_reaction=236.63/-1.61%; surprise=negative; confirm_at_1030=收复243.14并持续强于软件板块; scheduled_node=09:45; actual_quote_time=09:56:57; execution_mode=manual_delayed,,THM-AI应用,recent_exit,direct_core,divergence,maintain,双源当日量价一致；未通过重新定价门槛,中,medium,弱价格反应,应用端重估资金,不能收复243.14,reject_rebuy
2026-08-24,09:57,DailyExecution-v1.4,300308,中际旭创,0,890.75,成长指数快速转弱；通信核心与扩散同步回落,业绩高增与分红后冲高回落并跌破前收,当日候选淘汰；不买入,0,,,,高质量事件未通过开盘承接与Price Reaction Surprise门槛,,,,,R-002|R-011|R-012|R-015,overnight_driver=EVT-20260824-01; expected_reaction=好消息下保持强势并带动通信扩散; actual_reaction=890.75/-5.54%，高949.73后接近日低; surprise=negative; confirm_at_1030=收复943且扩散核心至少两只修复; scheduled_node=09:45; actual_quote_time=09:56:54; execution_mode=manual_delayed,EVT-20260824-01,THM-新一代通信网,nonholding,theme_leader,divergence,downgrade,双源当日量价一致；Good News + Weak Response,极高,high,显著负向冲击,10:30主线回流资金,10:30仍低于943且板块扩散弱,reject
2026-08-24,09:57,DailyExecution-v1.4,300502,新易盛,0,417.59,成长指数快速转弱；通信核心与扩散同步回落,高开冲高后跌破前收并接近日低,当日候选淘汰；不买入,0,,,,高开未被接受且题材广度同步转弱,,,,,R-001|R-002|R-011|R-012|R-015,overnight_driver=EVT-20260824-01; expected_reaction=主线延续并保持双龙头层级; actual_reaction=417.59/-5.52%，高450后接近日低; surprise=negative; confirm_at_1030=收复442且至少两只扩散核心修复; scheduled_node=09:45; actual_quote_time=09:56:54; execution_mode=manual_delayed,EVT-20260824-01,THM-新一代通信网,nonholding,theme_leader,divergence,downgrade,双源当日量价一致；负向Price Reaction Surprise,极高,high,显著负向冲击,10:30主线回流资金,10:30仍低于442且扩散弱,reject
2026-08-24,09:57,DailyExecution-v1.4,601899,紫金矿业,0,34.92,指数转弱；资源板块逆势但高弹性端拥挤,高开回落后仍维持正收益,保留候选；暂不买入,0,,,,资源容量确认有效，但已有洛阳钼业敞口且后者更强；现金优于重复加仓,,,,,R-001|R-008|R-011|R-015,overnight_driver=EVT-20260824-02; expected_reaction=容量核心确认资源扩散; actual_reaction=34.92/+0.52%; surprise=positive; confirm_at_1030=守住34.74且洛阳钼业保持强势; scheduled_node=09:45; actual_quote_time=09:56:57; execution_mode=manual_delayed,EVT-20260824-02,THM-贵金属铜钨,nonholding,capacity_core,reacceleration,maintain,双源当日量价一致；风险偏好下降中保持正收益,高,medium,正向相对反应,商品趋势与容量配置资金,跌破34.44且资源容量同步转弱,watch
2026-08-24,09:57,DailyExecution-v1.4,000657,中钨高新,0,66.97,资源题材整体偏强但内部分化,业绩关注下跌破68.14且弱于容量核心,当日候选淘汰；不买入,0,,,,好消息未获得预期价格反应；资源主线有效不等于该股有效,,,,,R-002|R-011|R-012|R-015,overnight_driver=EVT-20260824-02; expected_reaction=业绩后守住68.14并不弱于容量核心; actual_reaction=66.97/-1.72%; surprise=negative; confirm_at_1030=收复68.14且相对强度修复; scheduled_node=09:45; actual_quote_time=09:56:57; execution_mode=manual_delayed,EVT-20260824-02,THM-贵金属铜钨,nonholding,direct_core,reacceleration,downgrade,双源当日量价一致；Good News + Weak Response,高,medium_high,负向相对反应,业绩重估资金,继续低于68.14且弱于容量核心,reject
2026-08-24,09:57,DailyExecution-v1.4,002716,湖南白银,0,11.19,资源主线逆势；白银高弹性连续加速,连续大涨并维持+7.39%但拥挤度高,观察；不追高,0,,,,题材龙头有效但处于拥挤阶段；四道门槛中的生命周期门槛不支持追涨,,,,,R-008|R-011|R-012|R-015,overnight_driver=EVT-20260824-02; expected_reaction=高弹性强但容量核心需确认; actual_reaction=11.19/+7.39%; surprise=confirmed; confirm_at_1030=不跌破10.80且洛钼紫金保持强势; scheduled_node=09:45; actual_quote_time=09:56:57; execution_mode=manual_delayed,EVT-20260824-02,THM-贵金属铜钨,nonholding,theme_leader,crowding,maintain,双源当日量价一致；强反应伴随高拥挤,极高,high,正向但边际拥挤,高弹性趋势资金,跌破10.80且容量核心同步走弱,watch_no_chase
2026-08-24,09:57,DailyExecution-v1.4,300483,首华燃气,0,22.93,油气代理篮子分化；中国石化单票逆势,业绩后冲高23.88再回到平盘,当日候选淘汰；不买入,0,,,,公司级事件未通过承接和板块扩散两道门槛,,,,,R-002|R-011|R-012|R-015,overnight_driver=EVT-20260824-03; expected_reaction=业绩强反应并带动油气扩散; actual_reaction=22.93/-0.04%，高23.88后回落; surprise=negative; confirm_at_1030=站上23.40且中国石油或中国海油翻红; scheduled_node=09:45; actual_quote_time=09:56:54; execution_mode=manual_delayed,EVT-20260824-03,THM-油气,nonholding,direct_core,divergence,downgrade,双源当日量价一致；Good News Faded,高,medium,冲高回落,板块回流资金,继续弱于中国石化且板块无共振,reject
2026-08-24,09:57,DailyExecution-v1.4,600028,中国石化,0,5.29,油气代理篮子分化；仅中国石化容量股逆势,开盘后上行至+3.73%并接近日高,调整为watch；暂不买入,0,,,,价格反应门槛通过，但中国石油中国海油中曼首华未同步，扩散门槛不通过,,,,,R-001|R-002|R-011|R-012|R-015,overnight_driver=EVT-20260824-03; expected_reaction=容量股与油气板块共振; actual_reaction=5.29/+3.73%，接近日高; surprise=positive; confirm_at_1030=守住5.25且中国石油或中国海油至少一只翻红; scheduled_node=09:45; actual_quote_time=09:56:56; execution_mode=manual_delayed,EVT-20260824-03,THM-油气,nonholding,capacity_core,divergence,upgrade,双源当日量价一致；单一容量核心正向Surprise,中,low_medium,正向单票冲击,板块扩散资金,跌破5.10或继续仅单票强,watch
